year;level_1;level_2;value;density
2015;Total;Ang Mo Kio;174770;12110
2015;Total;Bedok;289750;12824
2015;Total;Bishan;90700;11800
2015;Total;Boon Lay;30;4.859
2015;Total;Bukit Batok;139270;14366
2015;Total;Bukit Merah;155840;10727
2015;Total;Bukit Panjang;139030;15195
2015;Total;Bukit Timah;74470;4501
2015;Total;Central Water Catchment;10;0
2015;Total;Changi;2530;45.56
2015;Total;Choa Chu Kang;174330;30487
2015;Total;Clementi;91630;9786
2015;Total;Downtown Core;3720;644.4
2015;Total;Geylang;116960;11470
2015;Total;Hougang;222310;16254
2015;Total;Jurong East;84980;4441
2015;Total;Jurong West;272660;17873
2015;Total;Kallang;101210;11847
2015;Total;Lim Chu Kang;90;6.359
2015;Total;Mandai;2120;177.6
2015;Total;Marina East;0;0
2015;Total;Marina South;0;0
2015;Total;Marine Parade;48730;7556
2015;Total;Museum;380;614.5
2015;Total;Newton;6920;3992
2015;Total;North-Eastern Islands;60;1.166
2015;Total;Novena;47990;5493
2015;Total;Orchard;920;960.3
2015;Total;Outram;22080;13358
2015;Total;Pasir Ris;139890;9794
2015;Total;Paya Lebar;40;3422
2015;Total;Pioneer;100;6610
2015;Total;Punggol;109750;18672
2015;Total;Queenstown;98050;4697
2015;Total;River Valley;9190;6827
2015;Total;Rochor;14590;8124
2015;Total;Seletar;270;29.26
2015;Total;Sembawang;76530;8320
2015;Total;Sengkang;206680;23541
2015;Total;Serangoon;120670;11572
2015;Total;Simpang;0;0
2015;Total;Singapore River;2720;3406
2015;Total;Southern Islands;1480;319.9
2015;Total;Straits View;0;0
2015;Total;Sungei Kadut;850;46.91
2015;Total;Tampines;261230;12443
2015;Total;Tanglin;19000;2860
2015;Total;Tengah;10;1351
2015;Total;Toa Payoh;124940;14920
2015;Total;Tuas;70;2330
2015;Total;Western Islands;10;0.2534
2015;Total;Western Water Catchment;900;9.214
2015;Total;Woodlands;250290;18780
2015;Total;Yishun;201970;10432
